Identificador de URL;Nome;Categorias;Preço;Preço promocional;Peso (kg);Largura (cm);Comprimento (cm);Altura (cm);Exibir na loja;Estoque;SKU;Código de barras;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;URL da imagem principal;URLs de imagens adicionais
"perfume-lab-8-jobs-elixir-100ml";"Jobs Elixir";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-207993276";"";"<p>JOBS ELIXIR – LAB 8 👑 O sucesso não é por acaso; é uma escolha de presença. Quem compreende a alta perfumaria reconhece que a verdadeira sofisticação não se revela no primeiro impacto, mas sim na persistência. Ela se manifesta na forma como a fragr&acirc;ncia evolui na pele ao longo das horas, na memória olfativa que permanece no ambiente e nos elogios espont&acirc;neos que surgem quando você menos espera.</p><p><strong>Família Olfativa:</strong> Amadeirado &Acirc;mbar Especiado – Masculino</p><p><strong>Notas de Topo:</strong> Olíbano, Cardamomo</p><p><strong>Notas de Coração:</strong> Patchouli, Vetiver</p><p><strong>Notas de Fundo:</strong> Ládano, Cedro</p>";"masculinos, amadeirado-&acirc;mbar-especiado-–-masculino, perfume, alta-fixacao, lab-8";"Jobs Elixir | Glitz Alta Perfumaria";"Compre Jobs Elixir na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_lab8_jobselixir-3c40a6606cd63b489b17615771225226-1024-1024.webp";""
"dom-8-100ml";"DOM 8";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-279787281";"";"<p>DOM 8 HOMME – LAB 8 🖤 O homem que chegou não precisa anunciar sua presença. O DOM 8 HOMME foi criado para esse homem. Para quem carrega autoconfiança não como postura, mas como natureza — e entende que a masculinidade mais poderosa é aquela que não precisa se impor. Sofisticada sem ser distante. Marcante sem ser exagerada. A expressão olfativa do homem que evoluiu além dos clichês.</p><p><strong>Família Olfativa:</strong> Oriental Masculino – Masculino</p><p><strong>Notas de Topo:</strong> Lavanda, Limão Siciliano, Cardamomo</p><p><strong>Notas de Coração:</strong> Íris, Violeta, Fava Tonka</p><p><strong>Notas de Fundo:</strong> Patchouli, Vetiver, &Acirc, mbar</p>";"masculinos, oriental-masculino-–-masculino, perfume, alta-fixacao, lab-8";"DOM 8 | Glitz Alta Perfumaria";"Compre DOM 8 na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_lab8_dom8-6484fc33ada809ee8417615770877333-1024-1024.webp";""
"perfumes-masculinos-perfume-lab-8-bullet-100ml";"Bullet";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169333990";"";"<p>Alguns homens seguem o caminho. Outros abrem o próprio. O BULLET foi criado para o homem que não espera permissão, que age antes de pensar duas vezes e que carrega uma energia tão magnética que o ambiente muda quando ele entra. Uma fragr&acirc;ncia que não pede licença — ela simplesmente chega, marca e permanece. Intenso, adocicado e com uma profundidade amadeirada que cresce na pele ao longo do dia, o BULLET é a expressão olfativa da autoconfiança em seu estado mais puro. Não é um perfume para quem quer se encaixar. É para quem foi feito para se destacar.</p><p><strong>Família Olfativa:</strong> Amadeirado Especiado – Masculino</p><p><strong>Notas de Topo:</strong> Limão, Gengibre, Lavanda, Hortelã</p><p><strong>Notas de Coração:</strong> Maçã, Zimbro, Cardamomo, Ger&acirc, nio</p><p><strong>Notas de Fundo:</strong> Fava Tonka, Madeira de &Acirc, mbar, Vetiver</p>";"masculinos, amadeirado-especiado-–-masculino, perfume, alta-fixacao, lab-8";"Bullet | Glitz Alta Perfumaria";"Compre Bullet na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_lab8_bullet-dd6c778471433253e117615773920957-1024-1024.webp";""
"perfumes-femininos-100ml-perfume-diamant-lab-8-100ml";"Diamant";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334015";"";"<p>Diamantes não precisam se apresentar. Eles simplesmente brilham. O DIAMANT foi criado para a mulher que carrega essa mesma qualidade: uma presença que não se anuncia, mas que ilumina qualquer ambiente em que entra. Marcante sem ser intensa, refrescante sem ser efêmera — uma fragr&acirc;ncia para a mulher que não precisa de muitas palavras. O perfume fala por ela. Floral Sofisticado – Feminino</p><p><strong>Família Olfativa:</strong> Floral Sofisticado – Feminino</p><p><strong>Notas de Topo:</strong> Peônia, Lichia, Frésia</p><p><strong>Notas de Coração:</strong> Rosa, Lírio-do-Vale, Magnólia</p><p><strong>Notas de Fundo:</strong> Cedro da Virgínia, &Acirc, mbar</p>";"femininos, floral-sofisticado-–-feminino, perfume, alta-fixacao, lab-8";"Diamant | Glitz Alta Perfumaria";"Compre Diamant na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-diamant-lab8-1770acae0efdb25e1d17761132487440-1024-1024.webp";""
"perfumes-femininos-perfume-lab-8-dolce-blue-100ml";"Dolce Blue";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334019";"";"<p>DOLCE BLUE – LAB 8 💙 Frescor que não passa. Eleg&acirc;ncia que não cansa. O DOLCE BLUE foi criado para a mulher que vive com leveza e se move com estilo. Não é uma fragr&acirc;ncia que precisa de uma ocasião especial para ser usada — ela transforma qualquer momento em uma ocasião especial. Marcante sem ser invasiva, refrescante sem ser efêmera.</p><p><strong>Família Olfativa:</strong> Cítrico Frutado – Feminino / Unissex</p><p><strong>Notas de Topo:</strong> Limão Siciliano, Maçã, Cedro, Camp&acirc, nula</p><p><strong>Notas de Coração:</strong> Bambu, Jasmim, Rosa Branca</p><p><strong>Notas de Fundo:</strong> Cedro, Almíscar, &Acirc, mbar</p>";"femininos, cítrico-frutado-–-feminino-/-unissex, perfume, alta-fixacao, lab-8";"Dolce Blue | Glitz Alta Perfumaria";"Compre Dolce Blue na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-dolce-blue-lab8-90142f8634dee3f7ff17761132251568-1024-1024.webp";""
"perfume-lab-8-oud-premium-100-mlperfumes-unissex-perfume-lab-8-oud-premium-100ml";"Oud Premium";"Linha Árabe";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334005";"";"<p>OUD PREMIUM – LAB 8 🕌 Alguns perfumes chegam. O OUD PREMIUM permanece. Na hierarquia da alta perfumaria, o oud ocupa um lugar que nenhum outro ingrediente consegue disputar. Extraído de árvores centenárias, queimado em rituais sagrados e negociado como ouro líquido nos mercados do Oriente Médio, ele carrega consigo séculos de história, mistério e sedução. O OUD PREMIUM foi criado para traduzir toda essa riqueza em uma fragr&acirc;ncia contempor&acirc;nea, acessível e absolutamente extraordinária.</p><p><strong>Família Olfativa:</strong> &Acirc;mbar Amadeirado – Compartilhável</p><p><strong>Notas de Topo:</strong> Oud, Pau-Brasil, S&acirc, ndalo</p><p><strong>Notas de Coração:</strong> Cardamomo, Baunilha, Pimenta</p><p><strong>Notas de Fundo:</strong> Vetiver, Fava Tonka, &Acirc, mbar</p>";"arabe, &acirc;mbar-amadeirado-–-compartilhável, perfume, alta-fixacao, lab-8";"Oud Premium | Glitz Alta Perfumaria";"Compre Oud Premium na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_lab8_oudpremium-cb0e47e95f66fdf28817615772849390-1024-1024.webp";""
"perfume-fluy-provoking-100-ml";"Provoking - FLUY";"Compartilháveis";"167.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-175249857";"";"<p>Há homens que chegam. E há homens que dominam a atmosfera. O PROVOKING foi criado para o segundo tipo. Para o homem cuja presença já diz tudo antes de qualquer palavra, cujo rastro olfativo permanece no ambiente muito depois de sua saída e cuja aura magnética é simplesmente impossível de ignorar. Alta fixação. Projeção intensa. Uma assinatura olfativa que não pede licença. &Acirc;mbar Especiado – Masculino</p><p><strong>Família Olfativa:</strong> &Acirc;mbar Especiado – Masculino</p><p><strong>Notas de Topo:</strong> Bergamota, Lavanda, Pimenta, Limão, Sálvia, Cardamomo</p><p><strong>Notas de Coração:</strong> Íris, Jasmim, Néroli, Fava Tonka, Baunilha</p><p><strong>Notas de Fundo:</strong> Mirra, Cedro, Patchouli, Vetiver, S&acirc, ndalo, &Acirc, mbar, Almíscar</p>";"compartilhaveis, &acirc;mbar-especiado-–-masculino, perfume, alta-fixacao, lab-8";"Provoking - FLUY | Glitz Alta Perfumaria";"Compre Provoking - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_provoking_01-4e3de18b3698ec50df17601318960017-1024-1024.webp";""
"perfumes-masculinos-infinity-intense-mem-fluy-100ml";"Infinity Intense Men - FLUY";"Perfumes Masculinos";"167.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334035";"";"<p>INFINITY INTENSE MEN – FLUY 🔱 Poder não se declara. Se projeta. O INFINITY INTENSE MEN foi criado para o homem que compreende essa distinção. Uma fragr&acirc;ncia autoral e exclusiva da FLUY — não uma releitura, não uma inspiração — uma criação original que carrega em cada nota a filosofia de quem não aceita o ordinário como destino. Alta fixação. Projeção intensa. Uma assinatura olfativa que não pede licença — e não precisa.</p><p><strong>Família Olfativa:</strong> Oriental Foug&egrave;re – Masculino</p><p><strong>Notas de Topo:</strong> Bergamota, Lavanda, Amêndoa Amarga</p><p><strong>Notas de Coração:</strong> Madeira de Palo Santo, Jasmim, Violeta</p><p><strong>Notas de Fundo:</strong> Baunilha, S&acirc, ndalo, &Acirc, mbar</p>";"masculinos, oriental-foug&egrave;re-–-masculino, perfume, alta-fixacao, lab-8";"Infinity Intense Men - FLUY | Glitz Alta Perfumaria";"Compre Infinity Intense Men - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_infinity_men_01-c77c7875cf7391e7fe17601319914019-1024-1024.webp";""
"perfumes-masculinos-perfume-lab-8-club-blue-100ml";"Club Blue";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169333992";"";"<p>Sofisticação não é um destino. É uma postura. O CLUB BLUE foi criado para quem carrega eleg&acirc;ncia de forma natural, sem esforço, sem exagero. Este perfume amadeirado e aromático traz uma fusão única de notas aquáticas oce&acirc;nicas e cítricas, criando uma experiência olfativa que é ao mesmo tempo refrescante e envolvente.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático – Compartilhável</p><p><strong>Notas de Topo:</strong> Notas Oce&acirc, nicas, Bergamota, Cardamomo</p><p><strong>Notas de Coração:</strong> Manjericão, Verbena, Sálvia, Raiz de Orris</p><p><strong>Notas de Fundo:</strong> Camurça, Notas Amadeiradas, Patchouli</p>";"masculinos, amadeirado-aromático-–-compartilhável, perfume, alta-fixacao, lab-8";"Club Blue | Glitz Alta Perfumaria";"Compre Club Blue na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_lab8_clubblue-e4109c567e1a4191f417615773718453-1024-1024.webp";""
"perfumes-femininos-100ml-madame-belle";"Madame & Belle";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334028";"";"<p>MADAME & BELLE – LAB 8 🌺 Eleg&acirc;ncia não é uma postura. É uma identidade. O MADAME & BELLE foi criado para a mulher que compreende essa distinção. Não a eleg&acirc;ncia performática que se aprende — mas aquela que nasce de dentro, que se manifesta na forma como ela entra em um ambiente e como deixa sua marca em tudo que toca.</p><p><strong>Família Olfativa:</strong> Oriental Amadeirada – Feminino</p><p><strong>Notas de Topo:</strong> Bergamota, Laranja, Toranja</p><p><strong>Notas de Coração:</strong> Rosa, Lichia, Jasmim</p><p><strong>Notas de Fundo:</strong> Patchouli, Baunilha, Almíscar</p>";"femininos, oriental-amadeirada-–-feminino, perfume, alta-fixacao, lab-8";"Madame & Belle | Glitz Alta Perfumaria";"Compre Madame & Belle na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-madamebelle-lab8-7b9869dffb3c93884d17761131773953-1024-1024.webp";""
"vision-100ml";"Vision";"Linha Niche";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-321427261";"";"<p>VISION – LAB 8 NICHE 🔭 Há uma diferença entre olhar e enxergar. O VISION foi criado para quem conhece essa distinção. Uma fragr&acirc;ncia que nasce da ideia de que a verdadeira sofisticação está na clareza — não no excesso, não na sobreposição, mas na precisão absoluta de cada nota, percebida com definição e pureza olfativa que poucas composições são capazes de entregar. Para o homem que antecipa, que age com intenção e que compreende que enxergar antes é, em si mesmo, uma forma de poder.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático</p><p><strong>Notas de Topo:</strong> Cidra, Bergamota, Laranja Siciliana</p><p><strong>Notas de Coração:</strong> Néroli, Gengibre, Canela do Ceilão</p><p><strong>Notas de Fundo:</strong> Chá Preto, &Acirc, mbar, Madeira Guaiac, Olíbano</p>";"niche, amadeirado-aromático, perfume, alta-fixacao, lab-8";"Vision | Glitz Alta Perfumaria";"Compre Vision na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-vision-100-ml-lab-8-niche-ce1b569233a8e70c8917746463431040-1024-1024.webp";""
